Date	Customer	State	Product	NumberSold	Price	Revenue
Jan 01, 2006	Roberts	NSW	Oranges	903	15	13545
Jan 01, 2006	Roberts	TAS	Oranges	331	15	4965
Jan 02, 2006	Smith	QLD	Mangoes	299	20	5980
Jan 06, 2006	Roberts	QLD	Oranges	612	15	9180
Jan 08, 2006	Roberts	VIC	Apples	907	12.5	11337.5
Jan 08, 2006	Pradesh	TAS	Pears	107	18	1926
Jan 10, 2006	Roberts	VIC	Apples	770	12.5	9625
Jan 14, 2006	Smith	NT	Apples	223	12.5	2787.5
Jan 14, 2006	Smith	VIC	Oranges	132	15	1980
Jan 15, 2006	Pradesh	QLD	Oranges	669	15	10035
Jan 17, 2006	Roberts	NSW	Mangoes	881	20	17620
Jan 21, 2006	Kee	SA	Pears	624	18	11232
Jan 22, 2006	Roberts	QLD	Mangoes	193	20	3860
Jan 23, 2006	Smith	SA	Mangoes	255	20	5100
Jan 27, 2006	Kee	QLD	Mangoes	6	20	120
Jan 27, 2006	Kee	VIC	Mangoes	311	20	6220
Jan 28, 2006	Roberts	NT	Oranges	9	15	135
Jan 28, 2006	Kee	TAS	Apples	706	12.5	8825
Jan 29, 2006	Kee	NT	Mangoes	441	20	8820
Jan 30, 2006	Kee	WA	Oranges	936	15	14040
Feb 03, 2006	Kee	NSW	Oranges	901	15	13515
Feb 04, 2006	Smith	NT	Oranges	631	15	9465
Feb 06, 2006	Pradesh	NT	Apples	181	12.5	2262.5
Feb 10, 2006	Kee	WA	Pears	748	18	13464
Feb 11, 2006	Roberts	WA	Mangoes	593	20	11860
Feb 12, 2006	Kee	QLD	Oranges	845	15	12675
Feb 13, 2006	Smith	NT	Apples	742	12.5	9275
Feb 17, 2006	Smith	NT	Mangoes	804	20	16080
Feb 18, 2006	Pradesh	VIC	Oranges	863	15	12945
Feb 19, 2006	Roberts	NSW	Apples	27	12.5	337.5
Feb 21, 2006	Smith	NT	Pears	996	18	17928
Feb 25, 2006	Roberts	NT	Oranges	217	15	3255
Feb 25, 2006	Roberts	TAS	Oranges	206	15	3090
Feb 26, 2006	Kee	VIC	Mangoes	771	20	15420
Feb 26, 2006	Kee	NSW	Apples	274	12.5	3425
Feb 28, 2006	Smith	NT	Oranges	523	15	7845
Mar 04, 2006	Kee	VIC	Pears	934	18	16812
Mar 04, 2006	Smith	TAS	Pears	165	18	2970
Mar 04, 2006	Smith	QLD	Oranges	272	15	4080
Mar 06, 2006	Pradesh	NSW	Pears	92	18	1656
Mar 10, 2006	Roberts	VIC	Apples	390	12.5	4875
Mar 12, 2006	Kee	SA	Apples	32	12.5	400
Mar 13, 2006	Smith	NSW	Oranges	473	15	7095
Mar 17, 2006	Roberts	QLD	Apples	574	12.5	7175
Mar 18, 2006	Kee	WA	Apples	295	12.5	3687.5
Mar 18, 2006	Kee	SA	Pears	200	18	3600
Mar 20, 2006	Pradesh	QLD	Oranges	769	15	11535
Mar 24, 2006	Smith	VIC	Mangoes	33	20	660
Mar 24, 2006	Pradesh	SA	Apples	335	12.5	4187.5
Mar 24, 2006	Roberts	NT	Mangoes	694	20	13880
Mar 24, 2006	Smith	NT	Oranges	175	15	2625
Mar 26, 2006	Roberts	QLD	Oranges	589	15	8835
Mar 28, 2006	Smith	TAS	Oranges	291	15	4365
Apr 01, 2006	Smith	VIC	Apples	899	12.5	11237.5
Apr 03, 2006	Roberts	VIC	Apples	1	12.5	12.5
